sample_accession	study_accession	bam	url	run_accession
SRS3044249	SRP131661	10X_P7_5.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835857/10X_P7_5.bam.1	SRR6835857
SRS3044248	SRP131661	10X_P7_4.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835856/10X_P7_4.bam.1	SRR6835856
SRS3044247	SRP131661	10X_P7_3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835855/10X_P7_3.bam.1	SRR6835855
SRS3044246	SRP131661	10X_P7_2.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835854/10X_P7_2.bam.1	SRR6835854
SRS3044245	SRP131661	10X_P7_1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835853/10X_P7_1.bam.1	SRR6835853
SRS3044244	SRP131661	10X_P7_0.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835852/10X_P7_0.bam.1	SRR6835852
SRS3044243	SRP131661	10X_P4_7.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835851/10X_P4_7.bam.1	SRR6835851
SRS3044242	SRP131661	10X_P4_6.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835850/10X_P4_6.bam.1	SRR6835850
SRS3044241	SRP131661	10X_P4_5.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835849/10X_P4_5.bam.1	SRR6835849
SRS3044240	SRP131661	10X_P4_4.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835848/10X_P4_4.bam.1	SRR6835848
SRS3044239	SRP131661	10X_P4_3.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835847/10X_P4_3.bam.1	SRR6835847
SRS3044238	SRP131661	10X_P4_2.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835846/10X_P4_2.bam.1	SRR6835846
SRS3044237	SRP131661	10X_P4_1.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835845/10X_P4_1.bam.1	SRR6835845
SRS3044236	SRP131661	10X_P4_0.bam	https://sra-pub-src-1.s3.amazonaws.com/SRR6835844/10X_P4_0.bam.1	SRR6835844
SRS5878923	SRP238587	ORG_60b_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759475/ORG_60b_possorted_genome_bam.bam.1	SRR10759475
SRS5878924	SRP238587	ORG_90_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759476/ORG_90_possorted_genome_bam.bam.1	SRR10759476
SRS5878927	SRP238587	ORG_205_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759479/ORG_205_possorted_genome_bam.bam.1	SRR10759479
SRS5878933	SRP238587	FET_82P_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759485/FET_82P_possorted_genome_bam.bam.1	SRR10759485
SRS5878934	SRP238587	FET_105_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759486/FET_105_possorted_genome_bam.bam.1	SRR10759486
SRS5878938	SRP238587	RS_76_33_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759490/RS_76_33_possorted_genome_bam.bam.1	SRR10759490
SRS5878922	SRP238587	ORG_60a_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759474/ORG_60a_possorted_genome_bam.bam.1	SRR10759474
SRS5878925	SRP238587	ORG_104_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759477/ORG_104_possorted_genome_bam.bam.1	SRR10759477
SRS5878940	SRP238587	RS_122_14_unsorted_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759492/RS_122_14_unsorted_possorted_genome_bam.bam.1	SRR10759492
SRS5878939	SRP238587	RS_91_18_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759491/RS_91_18_possorted_genome_bam.bam.1	SRR10759491
SRS5878921	SRP238587	ORG45_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759473/ORG45_possorted_genome_bam.bam.1	SRR10759473
SRS5878928	SRP238587	FET_59_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759480/FET_59_possorted_genome_bam.bam.1	SRR10759480
SRS5878936	SRP238587	FET_125P_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759488/FET_125P_possorted_genome_bam.bam.1	SRR10759488
SRS5878926	SRP238587	ORG_110_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759478/ORG_110_possorted_genome_bam.bam.1	SRR10759478
SRS5878930	SRP238587	FET_80C_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759483/FET_80C_possorted_genome_bam.bam.1	SRR10759483
SRS5878937	SRP238587	RS78_35possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759489/RS78_35possorted_genome_bam.bam.1	SRR10759489
SRS5878929	SRP238587	FET_80P_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759481/FET_80P_possorted_genome_bam.bam.1	SRR10759481
SRS5878942	SRP238587	RS134_26NC_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759494/RS134_26NC_possorted_genome_bam.bam.1	SRR10759494
SRS5878931	SRP238587	FET_80P2_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759482/FET_80P2_possorted_genome_bam.bam.1	SRR10759482
SRS5878935	SRP238587	FET_125C_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759487/FET_125C_possorted_genome_bam.bam.1	SRR10759487
SRS5878941	SRP238587	RS134_26FV_possorted_genome_bam.bam	https://sra-pub-src-2.s3.amazonaws.com/SRR10759493/RS134_26FV_possorted_genome_bam.bam.1	SRR10759493
